Entity,Code,Year,Fossil fuels per capita
Africa,OWID_AFR,1965,2100.157
Africa,OWID_AFR,1966,2136.2979
Africa,OWID_AFR,1967,2099.5095
Africa,OWID_AFR,1968,2145.5347
Africa,OWID_AFR,1969,2125.6306
Africa,OWID_AFR,1970,2218.0261
Africa,OWID_AFR,1971,2328.2964
Africa,OWID_AFR,1972,2383.05
Africa,OWID_AFR,1973,2522.2646
Africa,OWID_AFR,1974,2558.4998
Africa,OWID_AFR,1975,2637.5007
Africa,OWID_AFR,1976,2772.9294
Africa,OWID_AFR,1977,2831.0144
Africa,OWID_AFR,1978,2867.5076
Africa,OWID_AFR,1979,3040.709
Africa,OWID_AFR,1980,3208.445
Africa,OWID_AFR,1981,3521.7327
Africa,OWID_AFR,1982,3663.352
Africa,OWID_AFR,1983,3690.4944
Africa,OWID_AFR,1984,3683.056
Africa,OWID_AFR,1985,3699.7358
Africa,OWID_AFR,1986,3645.2205
Africa,OWID_AFR,1987,3696.3481
Africa,OWID_AFR,1988,3825.1853
Africa,OWID_AFR,1989,3712.7275
Africa,OWID_AFR,1990,3752.361
Africa,OWID_AFR,1991,3628.7798
Africa,OWID_AFR,1992,3601.359
Africa,OWID_AFR,1993,3532.6138
Africa,OWID_AFR,1994,3556.6187
Africa,OWID_AFR,1995,3601.4678
Africa,OWID_AFR,1996,3596.9482
Africa,OWID_AFR,1997,3578.9497
Africa,OWID_AFR,1998,3530.1245
Africa,OWID_AFR,1999,3545.493
Africa,OWID_AFR,2000,3528.3552
Africa,OWID_AFR,2001,3573.1255
Africa,OWID_AFR,2002,3516.7773
Africa,OWID_AFR,2003,3604.993
Africa,OWID_AFR,2004,3831.7842
Africa,OWID_AFR,2005,3705.097
Africa,OWID_AFR,2006,3691.4812
Africa,OWID_AFR,2007,3730.637
Africa,OWID_AFR,2008,3868.601
Africa,OWID_AFR,2009,3817.967
Africa,OWID_AFR,2010,3831.5059
Africa,OWID_AFR,2011,3790.9246
Africa,OWID_AFR,2012,3875.1006
Africa,OWID_AFR,2013,3889.6016
Africa,OWID_AFR,2014,3904.774
Africa,OWID_AFR,2015,3895.9805
Africa,OWID_AFR,2016,3884.3372
Africa,OWID_AFR,2017,3898.1536
Africa,OWID_AFR,2018,3849.5657
Africa,OWID_AFR,2019,3845.6077
Africa,OWID_AFR,2020,3541.374
Africa,OWID_AFR,2021,3753.4736
